Coluna ID,Matrícula do Usuário Cadastrante,Origem,UGB/DESC_GG (Nível 2),GERENCIA/AREA FABRICA (Nível 3),DEPARTAMENTO (Nível 5),Descrição,Nível do Acidente,Momento
321130,968254,DD13,ENGENHARIA E TECNOLOGIA,ENGENHARIA E TECNOLOGIA,3OC001 - FCA-ENGENHARIA- OBRA,"Ao fechar o porta luvas do veículo (caminhão pipa), o motorista prendeu o dedo causando leve escoriação do indicador da mão esquerda.",1,2020-02-20 15:45:00
366287,140645,DD13,GESTÃO DE ATIVOS,GESTÃO PATRIMONIO IMOBILIARIA,4FP001 - FAZENDA PANTOJO,"Ao fazer vistoria nas áreas das fazendas com o veículo VW-Voyage placa AZO-0042, este veio a cair em um buraco que estava coberto pela vegetação, vindo a derrapar e atingindo um barranco, causando pequenas avarias no veículo no para choque dianteiro.",1,2020-02-19 15:00:00
314559,231661,DD13,FINANCEIRO,TI,4TI001 - TI - VM - CBA,"O empregado estava realizando treinamento quando a cadeira  veio a entortar os pés, ocasionando a queda dele no solo.",2,2020-02-17 11:00:00
365212,4262,DD13,FAZENDA ENGENHO,LEGADO VERDES DO CERRADO,1LE200 - REBANHO BOVINO,"Incêndio em área de pastagem, atingindo área total de 3 hectares, na Fazenda Forquilha, projeto andropogon.",3,2020-02-19 17:15:00
346479,197014,DD13,FUNDIÇÃO,OPERAÇÃO FUNDIÇÃO,1CA001 - FCA-CASTER,"DURANTE CORREÇÃO DE FORNO PELO OPERADOR DE FORMA MANUAL ,VEIO OCORRER PROJEÇÃO DE METAL NO AVENTAL ALUMINIZADO.  ",2,2020-02-10 10:00:00
154037,203447,DD13,SALAS FORNOS,MANUTENÇÃO E REFORMA DE FORNOS,2RF001 - FCA-REFORMA FORNOS,"Ao realizar a atividade de transposição do catodo, durante a retirada do balancin o empregado prensou o dedo entre a porca da trava de sustentação e o balancin.",3,2019-01-19 15:00:00
382778,105892,DD13,TRANSF. PLÁSTICA,CHAPAS E EXTRUSÃO,1LN003 - FCA-CHAPAS 2000 AUX.,Ao realizar o desbloqueio da unidade pneumática principal abrindo o ar o copo de lubrificação se soltou vindo a projetar pequenas partículas de óleo em seu uniforme,1,2020-02-02 16:00:00
383188,126007,DD13,TRANSF. PLÁSTICA,CHAPAS E EXTRUSÃO,1LN003 - FCA-CHAPAS 2000 AUX.,"Ao abrir a válvula de ar para o desbloqueio da unidade pneumática principal, o copo de lubrificação se soltou e projetou pequenas partículas de óleo no uniforme do funcionário.",1,2020-02-02 16:00:00
154000,142837,DD13,TRANSF. PLÁSTICA,LAMINAÇÃO FOLHAS,1PS001 - FCA-PRENSA DE SUCATA,"Ao armazenar o fardo prensado no kanbam utilizando empilhadeira, esbarrou na bacia de contenção empurrando para fora do local demarcado.  ",2,2019-01-20 04:30:00
364094,254076,DD13,GESTÃO DE ATIVOS,TERCEIROS  ATIVOS E MANUTENÇÕES,TERCEIROS  ATIVOS E MANUTENÇÕES,"AO REALIZAR O DESCARTE DE RESÍDUOS COMUNS DA COPA DO ESCRITÓRIO DA LAMINAÇÃO 2000 ATÉ O PONTO DE COLETA, A FUNCIONÁRIA VEIO A SOFRER UM CORTE NA PERNA ESQUERDA POR UMA LÂMINA QUE ESTAVA DENTRO DO SACO DE LIXO PRETO. ",3,2020-02-19 14:40:00
321242,242402,DD13,GESTÃO DE ATIVOS,TERCEIROS  ATIVOS E MANUTENÇÕES,TERCEIROS  ATIVOS E MANUTENÇÕES,"Ao descer a escada de acesso ao prédio da gerencia MF01, o empregado teve um desequilibro no ultimo degrau, o mesmo estava segurando o corrimão e bateu o joelho no chão.",4,2020-02-23 15:30:00
310200,242402,DD13,GESTÃO DE ATIVOS,TERCEIROS  ATIVOS E MANUTENÇÕES,TERCEIROS  ATIVOS E MANUTENÇÕES,"Durante a decida da escada do leito do laminador 2 a quente o empregado pisou em falso no degrau abaixo e em consequencia se desequilibrou, porém com a utilização do corrimão o empregado se manteve em pé.",4,2020-02-16 10:00:00
319470,231661,DD13,ENGENHARIA E TECNOLOGIA,TERCEIROS ENGENHARIA E OBRAS,TERCEIROS ENGENHARIA E OBRAS,"Um grupo de empregados estava movimentando o equipamento perfuratriz manualmente para posiciona-la no local de trabalho, quando o empregado foi atingido em sua perna direita pelo equipamento, gerando a lesão.",3,2020-02-22 16:10:00
297350,247787,DD13,ENGENHARIA E TECNOLOGIA,TERCEIROS ENGENHARIA E OBRAS,TERCEIROS ENGENHARIA E OBRAS,"No início da operação de içamento da caçamba de entulho com o caminhão Poli, houve rompimento da solda do suporte do cilindro hidráulico.",1,2020-02-07 08:00:00
418650,197014,DD13,ENGENHARIA E TECNOLOGIA,TERCEIROS ENGENHARIA E OBRAS,TERCEIROS ENGENHARIA E OBRAS,"Ao realizar atividade de esmerilhamento de peça ( tubulação de aço carbono), houve uma projeção de partícula  , ocasionando uma irritação no olho esquerdo do funcionário.",2,2020-02-27 11:00:00
410243,4262,DD13,NIQUELÂNDIA,TERCEIROS NIQUELÂNDIA,TERCEIROS NIQUELÂNDIA,AO MANOBRAR O VEÍCULO HB-20 PLACA QOW-5572 QUE ESTAVA ESTACIONADO AO LADO DO BEBEDOURO DO PÁTIO DA PETROBRAS O MESMO COLIDIU O PARA-CHOQUE TRASEIRO COM O CAMINHÃO PLACA HKA-8426 DA EMPRESA PATROL QUE ESTAVA ESTACIONADO ATRÁS DO MESMO,1,2020-02-21 07:50:00
302215,231661,DD13,ENGENHARIA E TECNOLOGIA,ENGENHARIA E TECNOLOGIA,3OC001 - FCA-ENGENHARIA- OBRA,"DURANTE INSPEÇÃO DE TALUDES NA ÁREA SE 440 KV, AO TRAFEGAR PELO ESTRADA INTERNA DE PISO DE TERRA BATIDA, HOUVE UM TRECHO DE ACUMULO DE LAMA CAUSANDO A PERDA DE ADERÊNCIA DO VEÍCULO S-10 PLACA FZH 6400, OCORRENDO A COLISÃO FRONTAL DO LADO DIREITO COM O BARRANCO.  ",1,2020-02-09 14:30:00
312507,216314,DD13,FILIAL SOROCABA,FILIAL SOROCABA,3SO001 - FCA - SOROCABA ADM,"Foi realizado carregamento do caminhão com roletes em paletes, durante o trajeto o rolete veio a se movimentar no palete, caindo sobre a carroceria do caminhão, sem risco de cair na via pois ficou parado na guarda do caminhão.",1,2020-02-16 17:20:00
330761,207522,DD13,FILIAL SOROCABA,FILIAL SOROCABA,3SO001 - FCA - SOROCABA ADM,"Durante a utilização da furadeira de bancada, a peça que estava sendo trabalhada deslocou-se devido ao torque inerente do processo de corte, causando a quebra a broca.",3,2020-02-29 16:00:00
434669,216314,DD13,FILIAL SOROCABA,FILIAL SOROCABA,3SO001 - FCA - SOROCABA ADM,"Com auxilio da ponte rolante, o empregado ao levantar o painel da serra do calante que estava deitado sobre a estrutura, a parte inferior veio a se soltar vindo a cair no piso.",1,2020-02-09 14:50:00
427473,197014,DD13,FUNDIÇÃO,OPERAÇÃO FUNDIÇÃO,1FS002 - FCA-FORNOS_A2,"AO CARREGAR O FORNO FUSÃO 80.2, O OPERADOR PAROU A MÁQUINA LATERALMENTE A PORTA QUE ESTA ABERTA VINDO A TRINCAR O VIDRO.",1,2020-02-02 16:00:00
377112,106962,DD13,MINERAÇÃO,APOIO MINERAÇÃO,3DM002 - GERENCIA GERAL,"No dia 27/02/2020 durante atividade para localização e abertura de uma caixa de esgoto para verificação de possível obstrução da tubulação, ocorreu transbordamento de aproximadamente 200 litros de esgoto",1,2020-02-27 10:20:00
296510,239817,DD13,MINERAÇÃO,MIRAÍ,3DM006 GERENCIA DA ZONA DA MATA,"O FUNCIONÁRIO DA EMPRESA CLEAN MASTER LAVADOR TEVE O VEÍCULO PLACA QOQ 5563 ATINGIDO POR UMA MOTO, QUE PROVOCOU A QUEBRA DA LANTERNA TRASEIRA DO VEÍCULO.  ",1,2020-02-03 18:25:00
332369,142335,DD13,MINERAÇÃO,POÇOS,2PC001 - POÇOS - MANUTENÇÃO INDUSTRIAL,"Ao realizar a desmontagem da bomba de bombeamento de esgodo para limpeza do rotor,houve um vazamento de aproximadamente 300ml de óleo ao solo  ",1,
285574,255107,DD13,SALAS FORNOS,PRODUÇÃO SF 5/6/7,1SF007 - FCA-S. FORNOS 127 5,"Ao se deslocar de ré com o rodão 833, encostou na parte inferior da PR. 119.",1,2019-01-27 08:00:00
369641,143512,DD13,SALAS FORNOS,PRODUÇÃO SF 5/6/7,1SF009 - FCA-S. FORNOS 127 7,"DEVIDO AO VAZAMENTO DO FORNO OCORREU PRINCIPIO DE INCÊNDIO, QUEIMANDO O BANDEJAMENTO PRÓXIMO A CUBA 1819.",3,2020-02-22 20:22:00
373748,143512,DD13,SALAS FORNOS,PRODUÇÃO SF 5/6/7,1SF009 - FCA-S. FORNOS 127 7,"DEVIDO AO VAZAMENTO DO FORNO OCORREU INCÊNDIO, QUEIMANDO O BANDEJAMENTO PRÓXIMO A CUBA 1819.",3,2020-02-26 04:00:00
153765,140080,DD13,TRANSF. PLÁSTICA,CHAPAS E EXTRUSÃO,1EX002 - FCA-EXTRUSÃO," Ao movimentar a ponte rolante 57 na área de estoque de cestas vazias, o a base do cabo vida da ponte enroscou no cabo de alimentação da iluminação do pavilhão e quase arrebentou o mesmo.",1,2019-01-19 17:45:00
366426,180717,DD13,TRANSF. PLÁSTICA,LAMINAÇÃO FOLHAS,1LF003 - FCA-FOLHA AUXILIARES,VAZAMENTO DE ÓLEO PELO PAVILHÃO TP AREA SEPAMAT 1  ,1,2020-02-19 15:00:00
407889,105627,DD13,TRANSF. PLÁSTICA,LAMINAÇÃO FOLHAS,1LF003 - FCA-FOLHA AUXILIARES,POÇA DE ÓLEO EMBAIXO DO CARRO BOBINADOR 1 (MENOS DE MEIO LITRO).,1,2020-02-19 12:30:00
309935,143439,DD13,TRANSF. PLÁSTICA,LAMINAÇÃO FOLHAS,1LF003 - FCA-FOLHA AUXILIARES,RESERVATÓRIO DE RETENÇÃO DO DESCARTE DE CAVACOS VIROU TRANSBORDANDO O ÓLEO DEPOSITADO ,1,2020-02-15 22:00:00
307665,430,DD13,METALEX,OUTROS,FUNDIÇÃO,Ao fazer o abastecimento do carro alimentador forno B operador foi virar um palete de prensado quando a fita estourou vindo a cair um prensado no canto inferior direito do parabrisa da empilhadeira,1,2020-02-14 20:20:00
313005,566,DD13,METALEX,OUTROS,FUNDIÇÃO,"No inicio da partida da mesa de vazamento de 5"" o metal veio a congelar. ",1,2020-02-17 20:00:00
332467,430,DD13,METALEX,OUTROS,FUNDIÇÃO,"Ao adentrar na empilhadeira 180 cabinada, operador foi fechar a porta quando o vidro da janela caiu.",1,2020-02-01 17:36:00
292857,430,DD13,METALEX,OUTROS,FUNDIÇÃO,"Durante a chuva na área da Fundição 1, o bandejamento de cabo elétrico de baixa tensão foi atingido pela água pluvial que acabou ocasionando um curto circuito.",1,2020-02-02 17:10:00
362110,430,DD13,METALEX,OUTROS,FUNDIÇÃO,"Durante o basculamento do forno de fusão D, o equipamento se deslocou cerca de 400mm na lateral esquerda de sua base.",1,2020-02-18 13:20:00
389817,143147,DD13,METALEX,OUTROS,TRATAMENTO TÉRMICO / EMBALAGEM,"Na operação de montagem de bilits pelo robô montador, no momento de movimentar o carro de billets, o mesmo movimentou muito rápido fazendo com que os billets caíssem.",2,2020-02-06 21:50:00
333398,430,DD13,METALEX,OUTROS,TRATAMENTO TÉRMICO / EMBALAGEM,"Ao retirar tarugo da plataforma de saída da Serra CNC, foi realizado uma manobra de marcha ré com a empilhadeira e a encostou na pilha de tarugo que estava próximo a operação.",1,2020-02-01 10:30:00
316572,430,DD13,METALEX,OUTROS,TRATAMENTO TÉRMICO / EMBALAGEM,Vazamento de óleo lubrificante do redutor do carro transportador no piso de concreto usinado. ,1,2020-02-21 17:00:00
318121,430,DD13,METALEX,OUTROS,TRATAMENTO TÉRMICO / EMBALAGEM,Vazamento de óleo hidráulico no cilindro da serra CNC.,1,2020-02-21 17:55:00
353436,430,DD13,METALEX,OUTROS,MANUTENÇÃO,AO ABRIR PORTA DE ACESSO A MESA DE DESCARTE DA SERRA CNC A MESMA VEIO A TOMBAR SOBRE O PÉ DO COLABORADOR,1,2020-02-11 17:30:00
360291,430,DD13,METALEX,OUTROS,MANUTENÇÃO,"Ao realizar atividade de fixação da chapa na tubulação da chaminé do forno de fusão B, o empregado veio a atingir o segundo dedo da mão esquerda com a marreta.",3,2020-02-16 14:30:00
434465,143147,DD13,METALEX,OUTROS,MANUTENÇÃO,Mangueira do cilindro de basculamento direito do  forno F com vazamento de óleo,1,2020-02-11 19:00:00
434486,143147,DD13,METALEX,OUTROS,MANUTENÇÃO,Empilhadeira frota 181 com mangueira da direção furada vindo a vazar óleo na frente da oficina.,1,2020-02-12 10:00:00
309001,143147,DD13,METALEX,OUTROS,PÁTIO GERAL,"Ao entrar na fábrica e estacionar a carreta para realizar o checklist, houve um pequeno vazamento de óleo diesel.",1,2020-02-14 17:30:00
305742,430,DD13,METALEX,OUTROS,ADMINISTRAÇÃO,A emprega estava na área de descanso e ao se levantar foi picada por uma abelha.,1,2020-02-13 16:50:00
312355,231661,DD13,ENGENHARIA E TECNOLOGIA,TERCEIROS ENGENHARIA E OBRAS,TERCEIROS ENGENHARIA E OBRAS,Durante a execução da demolição do piso de concreto houve a colisão do equipamento com a estrutura de andaime e leito de cabos que encontrava-se parcialmente montado.,1,2020-02-17 02:30:00
361753,231661,DD13,ENGENHARIA E TECNOLOGIA,TERCEIROS ENGENHARIA E OBRAS,TERCEIROS ENGENHARIA E OBRAS,"O empregado da empresa Geomaster deslocou ate a cidade de Niquelândia com a camionete Hilux placa ONX 5242 em sentido ao Bairro Jardim Atlântico, um motoqueiro bateu levemente no veículo em um cruzamento sem sinalização, não houve vitimas apenas danos no para choque da caminhonete.",1,2020-02-17 13:40:00
378011,258948,DD13,FILIAL SOROCABA,TERCEIROS  ATIVOS E MANUTENÇÕES - SOR,TERCEIROS  ATIVOS E MANUTENÇÕES - SOR,"AO REALIZAR LIMPEZA EM UMA CRISTALEIRA, A MESMA VEIO A SE QUEBRAR.",1,2020-02-28 09:00:00
404221,239817,DD13,MINERAÇÃO,MIRAÍ,TERCEIROS MIRAÍ,"EMPREGADO AO REALIZAR ATIVIDADE DE PRÉ-LAVAGEM DA ESCAVADEIRA, COM AUXÍLIO DE CAMINHÃO PIPA E CAVADEIRA MANUAL, VEIO A BATER O DEDO MÍNIMO DA MÃO ESQUERDA CONTRA A BORDA SUPERIOR DA ESTEIRA LD, CAUSANDO PRENSAMENTO.",1,2020-02-17 13:00:00
437381,430,DD13,METALEX,OUTROS,TERCEIROS METALEX,"Durante a quebra do piso do tratamento térmico, uma das mangueiras hidráulicas da Retro escavadeira  veio a romper ocasionando vazamento de óleo no piso.",1,2020-02-13 16:18:00
426510,4262,DD13,NIQUELÂNDIA,AUXILIARES GERAIS,4NN001 - GERENCIA,No dia 01/04/2020 às 08:40h o veículo Fit Mob Like Placa EFI-1498 quando transitava na GO-535 sentido Niquelândia Usina CBA foi atingido por uma pedra no parabrisa arremessada por um veículo que transitava na mesma via em sentido contrário ,1,2020-02-01 08:40:00
427289,4262,DD13,NIQUELÂNDIA,PRODUÇÃO,1NN111 - LAVRA,"Ao realizar manutenção em estrada do projeto sirenes na zona rural de Niquelândia, ocorreu uma colisão da motoniveladora 8 da CBA com uma caminhonete de terceiro, Ford Ranger Placa QTQ-8170, causando somente danos materiais ao farol esquerdo e capô, conforme boletim de ocorrência.",1,2020-02-02 14:20:00
429076,4262,DD13,NIQUELÂNDIA,PRODUÇÃO,1NN111 - LAVRA,"Ao executar laminação  de piso com o trator D6T10 na área próximo ao empréstimo do pátio novo, houve o rompimento de uma mangueira de óleo hidráulico próximo ao motor jogando óleo no escapamento aquecido gerando um principio de incêndio sendo controlado pelo operador com extintor da própria maquina.  ",2,2020-02-03 14:30:00
360616,207522,DD13,FILIAL SOROCABA,FILIAL SOROCABA,1SO001 - SOR - SOROCABA USINA,"Ao término da pintura no piso, houve projeção de fagulhas proveniente de atividade de esmerilhamento, ocasionando principio de incêndio. ",4,2020-02-17 10:30:00
334335,216314,DD13,FILIAL SOROCABA,FILIAL SOROCABA,1SO002 - SOR - SOROCABA CALDE,"O empregado ao manusear o cabo de aço para içamento de material, veio esbarrar o mesmo em seu rosto, causando lesão.",2,2020-02-03 09:30:00
329939,207522,DD13,FILIAL SOROCABA,FILIAL SOROCABA,3SO001 - FCA - SOROCABA ADM," Motorista ao manobrar o veículo (Carreta) no pátio de materiais, para aguardar a descarga de flexíveis de alumínio,  colidiu a traseira da carreta em um dos pedestais móveis vindo a derrubar o mesmo (pedestal para isolamento dos materiais armazenados em nossa  área de Almoxarifado).",1,2020-02-29 10:00:00
345569,207522,DD13,FILIAL SOROCABA,FILIAL SOROCABA,3SO001 - FCA - SOROCABA ADM,Máquina de solda parou de funcionar devido a borra de maçarico que caiu sobre o fio do equipamento.,1,2020-02-08 01:15:00
416311,85,DD13,METALEX,OUTROS,4RC093 - FCA-METALEX,"Havia encerrado a atividade de prensagem da sucatas,  quando ao se deslocar encostou a parte do tanque de armazenamento de combustível em um perfil de alumínio, vindo a  desencaixar a mangueira de respiro e derramar óleo pelo chão.",1,2020-02-26 02:40:00
380757,239817,DD13,MINERAÇÃO,APOIO MINERAÇÃO,3PC007 - SSMA POCOS,"A EMPREGA APOIOU A MÃO NA PORTA NO MOMENTO QUE ESTAVA SENDO FECHADA, VINDO A PRENSAR O DEDO NA BORRACHA DA PORTA.",1,2020-02-28 17:05:00
361282,197014,DD13,SALAS FORNOS,PRODUÇÃO SF 2/3/4 E TRAT GASES,1SF004 - FCA-S. FORNOS 127 2,"Quando retirava a panelinha do berço ( suporte ) ao abaixar para apoiar a panela no piso, ela veio a apoiar no suporte e quebrando a tubulação instalada sobre sua tampa ",1,2020-02-16 12:00:00
428613,201529,DD13,SALAS FORNOS,PRODUÇÃO SF 5/6/7,1SF007 - FCA-S. FORNOS 127 5,"DURANTE A MANOBRA DO FORNO 954, AO SE DESLOCAR DA LATERAL EXTERNA PARA A INTERNA, O LADO ESQUEDO DA PLATAFORMA DA CABINE DA PONTE PR-119 ENCOSTOU NA VIGA DE MANOBRA QUE ESTAVA POSICIONADA NO FORNO",1,2020-02-04 13:10:00
333434,197014,DD13,SALAS FORNOS,PRODUÇÃO SF 5/6/7,1SF007 - FCA-S. FORNOS 127 5,Ao concluir o levantamento de pontas e estacionar a ponte rolante 121 encostou a mesma muito próximo do cabide  de pontas numero 39 vindo a amassar o painel do ar condicionado.,2,2020-02-01 05:00:00
428374,105927,DD13,TRANSF. PLÁSTICA,LAMINAÇÃO FOLHAS,1LF002 - FCA-FOLHAS LAM.FRIO,"Ao movimentar  carga do forno com carro netsu na área dos  fornos brasimet, houve falha no limite fim de curso recuado passando do limite e colidindo com trafo de alimentação 220v vindo danifica-lo.",1,2020-02-04 00:30:00
428431,143147,DD13,METALEX,OUTROS,FUNDIÇÃO,Ao fazer o transporte tarugos do poço de vazamento 1 para a plataforma de descanso uma das emendas que liga a corrente na argola se rompeu vindo a cair um tarugo sobre o cavalete de descanso da mesa.,1,2020-02-05 01:45:00
402012,430,DD13,METALEX,OUTROS,FUNDIÇÃO,"Durante a partida do vazamento de tarugo na nova mesa de 7"", houve uma pequena projeção de metal em um local restrito a passagens de pessoas.",1,2020-02-17 12:40:00
426293,430,DD13,METALEX,OUTROS,MANUTENÇÃO,"Durante o serviço de substituição do queimador do forno de fusão B, o empregado veio a ter uma queimadura leve na mão esquerda devido a radiação do calor do equipamento, mesmo utilizando a luva adequada.",2,2020-02-01 12:00:00
427713,430,DD13,METALEX,OUTROS,ADMINISTRAÇÃO,"Ao retirar uma folha da impressora, a empregada veio a ter contato do 5º dedo da mão esquerda com a lateral da folha sulfite, o qual gerou um pequeno desconforto sem lesão",1,2020-02-03 10:00:00
417072,143236,DD13,DHO,SSMA,3SI001 - FCA-SEG. INDL/RAD.,"O EMPREGADO AO ESTACIONAR O VEÍCULO S10, EM MANOBRA DE RÉ NO PATIO DO GBI, NÃO VISUALIZOU A LIXEIRA DE RECICLÁVEIS VINDO A ENCOSTAR EM SUA PARTE POSTERIOR DERRUBANDO A NO CHÃO.",1,2020-02-26 10:30:00
318096,247195,DD13,SMP,AUXILIARES GERAIS,4NS001 - GERENCIA,"Vazamento de tinta branca solúvel em canaleta pluvial. O efluente ficou represado na caixa de passagem, sem atingir outros locais.",4,2020-02-22 10:00:00
360000,239817,DD13,MINERAÇÃO,MIRAÍ,2MI001- MIRAI - MANUTENÇÃO INDUSTRIAL,O colaborador ao realizar o fechamento da porta da van de transporte interno da unidade prensou lateralmente o dedo polegar da mão direita.,2,2020-02-17 08:25:00
373873,239817,DD13,MINERAÇÃO,POÇOS,3PC001 POÇOS MEIO AMBIENTE,AO CAMINHAR NO MEIO DA BRAQUIÁRIA (CAPIM) O EMPREGADO NÃO PERCEBEU UM TOCO VINDO A TROPEÇAR,4,2020-02-20 09:52:00
339999,142335,DD13,MINERAÇÃO,POÇOS,3PC001 POÇOS MEIO AMBIENTE,"Durante a atividade de retirar o trado do furo, o empregado esbarrou o mesmo na luminária que fica suspensa na oficina de manutenção e a mesma veio a soltar-se de uma das correntes de apoio, ficando presa pelas demais. ",4,2020-02-04 16:00:00
376269,197014,DD13,SALAS FORNOS,MANUTENÇÃO E REFORMA DE FORNOS,2ME001 - FCA-M.S.F.120 KA,"NO MOMENTO EM QUE O ELETRICISTA IDENTIFICAVA OS CABOS NO BANDEJAMENTO NA LATERAL DA SALA FORNOS 7 PRÓXIMO A CUBA 1820, OCORREU UM CURTO CIRCUITO.",4,2020-02-26 19:00:00
402282,197014,DD13,SALAS FORNOS,PRODUÇÃO SF 2/3/4 E TRAT GASES,1SF004 - FCA-S. FORNOS 127 2,AO TRANSITAR PELA RAMPA 1 DA SALA FORNOS 2 A RODA TRASEIRA DA VARREDEIRA SENTINEL 9256 SE SOLTOU.,3,2020-02-16 04:52:00
406187,243842,DD13,DHO,SSMA,3MA001 - FCA-MEIO AMBIENTE,"Durante manobra do caminhão carregado com resíduo de lama preta do lavador a úmido em bags, uma pequena parte do resíduo veio a cair no solo próximo ao destino final.",3,2020-02-16 16:00:00
346225,114973,DD13,NIQUELÂNDIA,PRODUÇÃO,1NN111 - LAVRA,"Equipamento Trator de Esteira CAT Modelo D6T-10 utilizado para serviço de abertura de acesso para as instalações das sirenes de emergência do sistema de segurança da Barragem do Mosquito. No dia 10/02 pela manhã quando o operador chegou para iniciar as atividades, notou que o filtro do ar condicionado que fica na parte interna do trator estava queimada. As causas da ocorrência ainda são desconhecidas, mas foi realizado Boletim de Ocorrência junto a polícia civil.",1,2020-02-10 09:00:00
336614,216314,DD13,ALUMINA,ÓXIDO,3AB001 - FCA - PROD BRANCA,"O empregado se deslocava pelo caminho preferencial, entre área F (JX) para escritório da EVAP, durante o trajeto sobre a passarela de acesso, a chapa piso quebrou na solda, desequilibrando o empregado. ",4,2020-02-04 11:10:00
439442,216314,DD13,ALUMINA,ÓXIDO,3AB001 - FCA - PROD BRANCA,"Empregado realizava inspeção de campo, ao tirar uma foto da janela de visita que foi aberta para limpeza, teve contato com uma aresta proveniente da chapa de isolamento térmico, gerando lesão.",3,2020-02-14 13:30:00
